AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-28.3908402129,10.1196266373,38.2426199702,38.1565994846,2.77834401041,0.0,180,0.000196274915695,0.000157259480327,1,-15.0,1,-30.0,-12.6260336835,0,100.0
-28.6630017382,10.3722379379,38.3291470262,38.2426199702,2.78860594659,0.0,180,0.000201199065301,0.00016114033854,1,-15.0,1,-30.0,-13.0154862277,0,100.0
-28.5050471976,10.1956197364,38.4161359206,38.3291470262,2.80502790783,0.0,180,0.000206146312015,0.000165051526634,1,-15.0,1,-30.0,-13.4120403851,0,100.0
-28.6459341537,10.3258103398,38.5036043286,38.4161359206,2.81999975215,0.0,180,0.000211113989116,0.000168991137382,1,-15.0,1,-30.0,-13.8156005554,0,100.0
-28.7576971853,10.4283847858,38.591564058,38.5036043286,2.83554458943,0.0,180,0.000216102996585,0.000172960085558,1,-15.0,1,-30.0,-14.2263556893,0,100.0
-28.8678266435,10.5309119247,38.680026691,38.591564058,2.85147221355,0.0,180,0.000221113894748,0.000176959025209,1,-15.0,1,-30.0,-14.6444701341,0,100.0
-28.995060687,10.6536725761,38.7690076592,38.680026691,2.86777530567,0.0,180,0.000226147226845,0.000180988604601,1,-15.0,1,-30.0,-15.0701091441,0,100.0
-29.0111332393,10.6574163711,38.8584982204,38.7690076592,2.8845786579,0.0,180,0.000231203750338,0.000185049652514,1,-15.0,1,-30.0,-15.503458636,0,100.0
-29.0226669887,10.654993606,38.9484885548,38.8584982204,2.90109860864,0.0,180,0.000236282846989,0.000189141896058,1,-15.0,1,-30.0,-15.9445871091,0,100.0
-29.0537349074,10.672074378,38.9484885548,38.9484885548,2.91730021985,0.0,180,0.000241383839018,0.000193265010179,0,-15.0,1,-30.0,-16.3935541979,0,100.0
-28.9564824326,10.6272679116,38.9484885548,38.9484885548,2.93331624087,0.0,180,0.000246512835569,0.000197410760257,0,-15.0,1,-30.0,-16.8499443579,0,100.0
-28.9895918986,10.7183312858,39.0399345092,38.9484885548,2.94874734134,0.0,180,0.000251668813888,0.000201578319605,1,-15.0,1,-30.0,-17.3137704226,0,100.0
-29.1307089078,10.8503868012,39.1318836451,39.0399345092,2.96448840383,0.0,180,0.000256845622286,0.000205776394003,1,-15.0,1,-30.0,-17.7856790281,0,100.0
-29.2678103981,10.9812081129,39.1318836451,39.1318836451,2.98080050643,0.0,180,0.000262044135176,0.000210005916408,0,-15.0,1,-30.0,-18.2658601372,0,100.0
-29.1286246264,10.8912116722,39.1318836451,39.1318836451,2.99766515863,0.0,180,0.000267272060002,0.000214259368432,0,-15.0,1,-30.0,-18.7540056323,0,100.0
-29.1023867348,10.920882828,39.1318836451,39.1318836451,3.01363527453,0.0,180,0.000272527836693,0.000218535480801,0,-15.0,1,-30.0,-19.2500708736,0,100.0
-29.1205314404,10.9980893643,39.1318836451,39.1318836451,3.0295059718,0.0,180,0.000277811291863,0.000222834112445,0,-15.0,1,-30.0,-19.7541359347,0,100.0
-29.1033362564,11.0377096225,39.1318836451,39.1318836451,3.04558840658,0.0,180,0.000283122794782,0.000227155563805,0,-15.0,1,-30.0,-20.2663305119,0,100.0
-29.1183837144,11.1123653171,39.1318836451,39.1318836451,3.06163410906,0.0,180,0.000288462281389,0.000231499782759,0,-15.0,1,-30.0,-20.7867407853,0,100.0
-29.0885261067,11.138429182,39.1318836451,39.1318836451,3.07787174418,0.0,180,0.000293830086414,0.000235867041645,0,-15.0,1,-30.0,-21.315489258,0,100.0
-29.0176792774,11.119106913,39.1318836451,39.1318836451,3.09398158655,0.0,180,0.000299225986987,0.000240257159136,0,-15.0,1,-30.0,-21.8526407881,0,100.0
-28.942530024,11.0939288399,39.1318836451,39.1318836451,3.10967062771,0.0,180,0.000304649249231,0.000244669538147,0,-15.0,1,-30.0,-22.3982040228,0,100.0
-29.1126852641,11.3356380206,39.1318836451,39.1318836451,3.12490846842,0.0,180,0.000310099086253,0.00024910353846,0,-15.0,0,-22.3982040228,-22.9521751136,0,100.0
-29.0123102206,11.2837352684,35.1858155657,39.1318836451,3.14144013437,0.0,180,0.000315577754482,0.000253560995913,-45,-15.0,0,-22.9521751136,-23.5148566649,0,100.0
-26.0407875606,11.4471971789,31.2388725311,35.1858155657,3.15733125652,0.0,180,0.000321379385215,0.000257651445565,-45,-15.0,0,-22.9521751136,-24.0648815654,0,100.0
-22.9618555151,11.376675643,31.5295651648,31.2388725311,3.15803132638,0.0,180,0.000327450158126,0.000261333668039,3,-15.0,1,-30.0,-24.5976269473,0,100.0
-23.2310515431,11.3858857274,31.8183278259,31.5295651648,3.14249387899,0.0,180,0.000333472395293,0.00026502837556,3,-13.0,0,-24.5976269473,-25.136326332,0,100.0
-23.6182439132,11.5389838211,32.1056715276,31.8183278259,3.12163016916,0.0,180,0.000339436076424,0.000268728656082,3,-13.0,0,-25.1363263321,-25.6798910301,0,100.0
-23.9283692045,11.6069727264,28.2378610405,32.1056715276,3.10629069734,0.0,180,0.000345351911829,0.000272440468708,-45,-14.0,0,-25.1363263321,-26.2291028359,0,100.0
-21.1323281734,11.8370586122,24.4023835522,28.2378610405,3.09471572704,0.0,180,0.000351481725436,0.000275732462919,-45,-14.0,0,-25.1363263321,-26.7588449767,0,100.0
-18.3068131929,11.9399507393,20.6205082199,24.4023835522,3.06884542127,0.0,180,0.000357765048617,0.000278583019907,-45,-12.0,0,-26.7588449767,-27.2652088779,0,100.0
-15.4544401239,11.835169614,16.9079003505,20.6205082199,3.02595721989,0.0,180,0.000364132458837,0.000280978973539,-45,-12.0,1,-30.0,-27.7442886464,0,100.0
-12.6871938427,11.7384391749,18.1548276348,16.9079003505,2.97053488016,0.0,180,0.000370522428939,0.000282921357362,14,-7.0,1,-30.0,-28.1933839783,0,100.0
-13.7308337512,11.7794225769,19.3789166493,18.1548276348,2.91612763599,0.0,180,0.00037675238264,0.000284964220641,14,-7.0,0,-28.1933839783,-28.650710365,0,100.0
